Run Beam Mode DLY | iEta iPhi Imon VDrift Gain f_Ar f_CO f_CF4 | IPreAmpI IPreAmpF IPreAmpO IShaper IShaperFeed IComp MSPL Lat Thresh | Sigma_Histo Sigma_Gaus Sigma_Cont Sigma_Num | Pk1_Pos Pk1_Int Pk2_Pos Pk2_Int Pk3_Pos Pk3_Int
10 13 0 -1.00 |  5 2 710.00 3337.71 71642.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  13.84 12.13 9.72 11.81 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
11 13 0 -1.00 |  5 2 700.00 3290.70 49615.64 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  14.43 13.00 10.78 12.49 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
12 13 0 -1.00 |  5 2 690.00 3243.69 34360.86 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  15.58 13.86 11.82 13.81 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
13 13 0 -1.00 |  5 2 680.00 3196.68 23796.31 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  16.30 14.99 13.10 14.61 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
14 13 0 -1.00 |  5 2 670.00 3149.67 16479.92 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  17.25 15.67 13.88 15.66 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
15 13 0 -1.00 |  5 2 660.00 3102.66 11413.02 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  18.52 16.94 15.32 17.06 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
16 13 0 -1.00 |  5 2 650.00 3055.65 7903.97 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  19.91 17.88 16.35 18.56 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
17 13 0 -1.00 |  5 2 640.00 3008.64 5473.82 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  21.09 19.05 17.62 19.82 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
18 13 0 -1.00 |  5 2 630.00 2961.63 3790.85 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  23.56 21.00 19.71 22.43 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
19 13 0 -1.00 |  5 2 620.00 2914.62 2625.32 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  32.47 21.71 20.47 31.65 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
20 13 0 -1.00 |  5 2 610.00 2867.61 1818.14 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  68.50 22.98 21.81 68.08 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
21 13 0 -1.00 |  5 2 600.00 2820.60 1259.14 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  86.08 24.42 23.31 85.72 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
22 13 1 -1.00 |  5 2 710.00 3337.71 71642.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 -1 -1 -1.00 |  85.48 -1.00 -1.00 -1.00 |  173.50 90.00 126.50 75.00 221.50 30.00
23 13 1 -1.00 |  5 2 710.00 3337.71 71642.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  93.56 -1.00 -1.00 -1.00 |  173.50 65.00 126.50 65.00 221.50 26.00
23 13 1 20.00 |  5 2 710.00 3337.71 71642.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  13.29 -1.00 -1.00 -1.00 |  289.50 6075.00 313.50 2509.00 266.50 567.00
24 13 1 21.00 |  5 2 710.00 3337.71 71642.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  13.05 -1.00 -1.00 -1.00 |  290.50 6361.00 314.50 2213.00 267.50 610.00
25 13 1 22.00 |  5 2 710.00 3337.71 71642.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  12.75 -1.00 -1.00 -1.00 |  292.50 6562.00 315.50 1925.00 268.50 670.00
26 13 1 23.00 |  5 2 710.00 3337.71 71642.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  12.90 -1.00 -1.00 -1.00 |  292.50 6538.00 316.50 1691.00 269.50 848.00
27 13 1 24.00 |  5 2 710.00 3337.71 71642.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  12.87 -1.00 -1.00 -1.00 |  293.50 6713.00 317.50 1453.00 269.50 984.00
28 13 1 25.00 |  5 2 710.00 3337.71 71642.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  12.45 -1.00 -1.00 -1.00 |  294.50 6834.00 318.50 1189.00 270.50 1072.00
29 13 1 26.00 |  5 2 710.00 3337.71 71642.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  12.46 -1.00 -1.00 -1.00 |  295.50 6878.00 272.50 1214.00 319.50 1016.00
30 13 1 27.00 |  5 2 710.00 3337.71 71642.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  12.04 -1.00 -1.00 -1.00 |  296.50 6991.00 272.50 1322.00 320.50 846.00
31 13 1 28.00 |  5 2 710.00 3337.71 71642.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  12.36 -1.00 -1.00 -1.00 |  297.50 6828.00 273.50 1603.00 321.50 728.00
32 13 1 29.00 |  5 2 710.00 3337.71 71642.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  12.17 -1.00 -1.00 -1.00 |  298.50 6781.00 274.50 1817.00 322.50 531.00
33 13 1 30.00 |  5 2 710.00 3337.71 71642.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  12.73 -1.00 -1.00 -1.00 |  299.50 6678.00 275.50 1986.00 323.50 435.00
34 13 1 31.00 |  5 2 710.00 3337.71 71642.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  12.87 -1.00 -1.00 -1.00 |  300.50 6616.00 276.50 2138.00 324.50 363.00
35 13 1 32.00 |  5 2 710.00 3337.71 71642.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  13.17 -1.00 -1.00 -1.00 |  301.50 6317.00 277.50 2504.00 325.50 274.00
36 13 1 33.00 |  5 2 710.00 3337.71 71642.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  12.86 -1.00 -1.00 -1.00 |  302.50 6176.00 278.50 2745.00 326.50 192.00
37 13 1 34.00 |  5 2 710.00 3337.71 71642.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  13.21 -1.00 -1.00 -1.00 |  303.50 5941.00 279.50 3021.00 327.50 149.00
38 13 1 35.00 |  5 2 710.00 3337.71 71642.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  13.28 -1.00 -1.00 -1.00 |  304.50 5630.00 280.50 3327.00 256.50 135.00
39 13 1 36.00 |  5 2 710.00 3337.71 71642.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  13.27 -1.00 -1.00 -1.00 |  305.50 5397.00 281.50 3563.00 257.50 150.00
40 13 1 37.00 |  5 2 -1.00 -1.00 0.00 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  13.54 -1.00 -1.00 -1.00 |  306.50 5123.00 282.50 3823.00 258.50 179.00
40 13 1 37.00 |  5 2 710.00 3337.71 71642.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  13.54 -1.00 -1.00 -1.00 |  306.50 5123.00 282.50 3823.00 258.50 179.00
41 13 1 38.00 |  5 2 710.00 3337.71 71642.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  13.71 -1.00 -1.00 -1.00 |  307.50 4792.00 283.50 4138.00 259.50 213.00
42 13 1 39.00 |  5 2 710.00 3337.71 71642.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  13.71 -1.00 -1.00 -1.00 |  284.50 4491.00 308.50 4398.00 260.50 225.00
43 13 1 40.00 |  5 2 710.00 3337.71 71642.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  13.56 -1.00 -1.00 -1.00 |  285.50 4819.00 309.50 4073.00 261.50 254.00
44 13 1 -1.00 |  5 2 710.00 3337.71 71642.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  13.48 -1.00 -1.00 -1.00 |  286.50 5215.00 310.50 3677.00 262.50 318.00
44 13 1 41.00 |  5 2 710.00 3337.71 71642.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  13.48 -1.00 -1.00 -1.00 |  286.50 5215.00 310.50 3677.00 262.50 318.00
45 13 1 42.00 |  5 2 710.00 3337.71 71642.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  13.66 -1.00 -1.00 -1.00 |  287.50 5197.00 311.50 3732.00 263.50 334.00
46 13 1 43.00 |  5 2 710.00 3337.71 71642.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  13.35 -1.00 -1.00 -1.00 |  288.50 5694.00 312.50 3099.00 264.50 397.00
47 13 1 44.00 |  5 2 710.00 3337.71 71642.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  13.14 -1.00 -1.00 -1.00 |  289.50 5874.00 312.50 2853.00 265.50 438.00
48 13 1 45.00 |  5 2 710.00 3337.71 71642.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  12.99 -1.00 -1.00 -1.00 |  290.50 6211.00 313.50 2502.00 266.50 458.00
