Run Beam Mode DLY | iEta iPhi Imon VDrift Gain f_Ar f_CO f_CF4 | IPreAmpI IPreAmpF IPreAmpO IShaper IShaperFeed IComp MSPL Lat Thresh | Sigma_Histo Sigma_Gaus Sigma_Cont Sigma_Num | Pk1_Pos Pk1_Int Pk2_Pos Pk2_Int Pk3_Pos Pk3_Int
10 13 0 -1.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  15.00 14.55 12.60 13.15 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
11 13 0 -1.00 |  5 2 700.00 3290.70 106786.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  15.54 14.96 13.07 13.76 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
12 13 0 -1.00 |  5 2 690.00 3243.69 73402.58 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  16.54 15.79 14.02 14.88 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
13 13 0 -1.00 |  5 2 680.00 3196.68 50454.96 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  17.46 16.62 14.95 15.90 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
14 13 0 -1.00 |  5 2 670.00 3149.67 34681.46 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  18.10 17.23 15.65 16.59 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
15 13 0 -1.00 |  5 2 660.00 3102.66 23839.10 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  19.32 18.64 17.17 17.92 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
16 13 0 -1.00 |  5 2 650.00 3055.65 16386.39 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  20.33 19.86 18.50 19.01 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
17 13 0 -1.00 |  5 2 640.00 3008.64 11263.57 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  21.14 20.36 19.02 19.86 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
18 13 0 -1.00 |  5 2 630.00 2961.63 7742.27 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  22.32 21.61 20.35 21.12 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
19 13 0 -1.00 |  5 2 620.00 2914.62 5321.84 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  22.67 22.29 21.07 21.48 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
20 13 0 -1.00 |  5 2 610.00 2867.61 3658.09 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  24.37 24.41 23.29 23.27 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
21 13 0 -1.00 |  5 2 600.00 2820.60 2514.48 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  24.92 24.83 23.73 23.85 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
22 13 1 -1.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 -1 -1 -1.00 |  203.68 -1.00 -1.00 -1.00 |  500.50 15.00 79.50 2.00 56.50 2.00
23 13 1 -1.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  180.69 -1.00 -1.00 -1.00 |  500.50 10.00 485.50 2.00 464.50 1.00
23 13 1 20.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  15.54 -1.00 -1.00 -1.00 |  293.50 5309.00 269.50 2661.00 317.50 765.00
24 13 1 21.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  15.71 -1.00 -1.00 -1.00 |  294.50 5127.00 270.50 2961.00 318.50 669.00
25 13 1 22.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  15.64 -1.00 -1.00 -1.00 |  295.50 4938.00 271.50 3246.00 319.50 523.00
26 13 1 23.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  15.95 -1.00 -1.00 -1.00 |  296.50 4714.00 272.50 3350.00 320.50 543.00
