Run Beam Mode DLY | iEta iPhi Imon VDrift Gain f_Ar f_CO f_CF4 | IPreAmpI IPreAmpF IPreAmpO IShaper IShaperFeed IComp MSPL Lat Thresh | Sigma_Histo Sigma_Gaus Sigma_Cont Sigma_Num | Pk1_Pos Pk1_Int Pk2_Pos Pk2_Int Pk3_Pos Pk3_Int
10 13 0 -1.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  10.01 9.42 6.04 6.93 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
11 13 0 -1.00 |  5 2 700.00 3290.70 85015.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  10.55 9.72 6.48 7.70 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
12 13 0 -1.00 |  5 2 690.00 3243.69 58490.23 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  10.69 9.77 6.61 7.89 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
13 13 0 -1.00 |  5 2 680.00 3196.68 40240.82 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  11.45 10.43 7.53 8.89 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
14 13 0 -1.00 |  5 2 670.00 3149.67 27685.38 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  12.28 11.27 8.58 9.94 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
15 13 0 -1.00 |  5 2 660.00 3102.66 19047.36 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  13.02 11.56 9.01 10.84 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
16 13 0 -1.00 |  5 2 650.00 3055.65 13104.44 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  14.11 12.98 10.73 12.13 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
17 13 0 -1.00 |  5 2 640.00 3008.64 9015.75 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  15.45 14.52 12.54 13.66 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
18 13 0 -1.00 |  5 2 630.00 2961.63 6202.78 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  16.48 15.70 13.90 14.81 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
19 13 0 -1.00 |  5 2 620.00 2914.62 4267.46 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  17.58 16.86 15.20 16.03 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
